Label;Code_Order;Code_Value;Category
cs_InCar;1;1;Private household
cs_InCar;2;2;Hotel/B&B
cs_InCar;3;3;Institution
cs_InCar;4;4;Somewhere else (specify)
cs_Intyp;1;1;Childrens Home or hostel
cs_Intyp;2;2;Other type of residential care home
cs_Intyp;3;3;NHS/Health trust or other establishment providing nursing care
cs_Intyp;4;4;Family centre or mother and baby unit
cs_Intyp;5;5;Youth treatment centre(Glenthorne)
cs_Intyp;6;6;Young offender institution or prison
cs_Intyp;7;7;Other (specify)
cs_SHGInt;1;1;Press 1 and <Enter> to continue
cs_YPSEX;1;1;Male
cs_YPSEX;2;2;Female
cs_YPEthnic;1;1;White: White - British
cs_YPEthnic;2;2;White: White - Irish
cs_YPEthnic;3;3;White: Any other White background (specify)
cs_YPEthnic;4;4;Mixed: White and Black Caribbean
cs_YPEthnic;5;5;Mixed: White and Black African
cs_YPEthnic;6;6;Mixed: White and Asian
cs_YPEthnic;7;7;Mixed: Any other mixed background (specify)
cs_YPEthnic;8;8;Asian or Asian British: Indian
cs_YPEthnic;9;9;Asian or Asian British: Pakistani
cs_YPEthnic;10;10;Asian or Asian British: Bangladeshi
cs_YPEthnic;11;11;Asian or Asian British: Any other Asian background (specify)
cs_YPEthnic;12;12;Black or Black British: Caribbean
cs_YPEthnic;13;13;Black or Black British: African
cs_YPEthnic;14;14;Black or Black British: Any other Black background (specify)
cs_YPEthnic;15;15;Chinese
cs_YPEthnic;16;16;Any other (specify)
cs_Sex;1;1;Male
cs_Sex;2;2;Female
cs_AgeIf;98;98;or more = CODE 97
cs_MarStat;1;1;Single, that is, never married
cs_MarStat;2;2;Married and living with your (his/her) husband/wife
cs_MarStat;3;3;Living with a partner
cs_MarStat;4;4;Married and separated from your (his/her) husband/wife
cs_MarStat;5;5;Divorced
cs_MarStat;6;6;Widowed
cs_MarStat;7;7;Other
cs_LiveWit;1;1;Yes
cs_LiveWit;2;2;No
cs_LiveWit;3;3;Spontaneous only: Same sex couple
cs_EmpStat;1;1;Doing paid work for 30 or more hours a week
cs_EmpStat;2;2;Doing paid work for fewer than 30 hours a week
cs_EmpStat;3;3;Unemployed/Looking for a job
cs_EmpStat;4;4;On a training course or scheme
cs_EmpStat;5;5;In full-time education/at school
cs_EmpStat;6;6;Looking after the family/household
cs_EmpStat;7;7;Retired from work altogether
cs_EmpStat;8;8;Sick/disabled
cs_EmpStat;9;9;Something else (PLEASE GIVE DETAILS)
cs_EthGrp;1;1;White: White - British
cs_EthGrp;2;2;White: White - Irish
cs_EthGrp;3;3;White: Any other White background (specify)
cs_EthGrp;4;4;Mixed: White and Black Caribbean
cs_EthGrp;5;5;Mixed: White and Black African
cs_EthGrp;6;6;Mixed: White and Asian
cs_EthGrp;7;7;Mixed: Any other mixed background (specify)
cs_EthGrp;8;8;Asian or Asian British: Indian
cs_EthGrp;9;9;Asian or Asian British: Pakistani
cs_EthGrp;10;10;Asian or Asian British: Bangladeshi
cs_EthGrp;11;11;Asian or Asian British: Any other Asian background (specify)
