Label;Literal;Instructions;Response;Parent_Type;Parent_Name;Branch;Position;min_responses;max_responses
qi_COVID19;The next few questions will ask about your health Do you think that you have or have had Coronavirus?;;cs_qCOVID19;CcSequence;Health – Physical Health;1;1;1;1
qi_COVID19POS;When do you think you got (or might have got) Coronavirus? If you have thought you have had Coronavirus on more than one occasion please select the month in which you most recently think you got it.;;cs_qCOVID19POS;CcSequence;Health – Physical Health;1;2;1;1
qi_COVIDADV;Have you sought medical advice in relation to any symptoms you have had, which you think may have been caused by Coronavirus?;;cs_qCOVIDADV;CcSequence;Health – Physical Health;1;3;1;1
qi_COVID_HOSPAD;Have you been in hospital because of Coronavirus symptoms?;;cs_qCOVID_HOSPAD;CcSequence;Health – Physical Health;1;4;1;1
qi_COVIDTEST;Have you been tested for Coronavirus?;Please select all that apply.;cs_qCOVIDTEST;CcSequence;Health – Physical Health;1;5;1;1
qi_COVIDCURRESULT;What was the result of your throat swab or nasal swab or saliva test or nasal mucus test for current infection? If you had more than one test please report the findings of the latest test.;;cs_qCOVIDCURRESULT;CcSequence;Health – Physical Health;1;6;1;1
qi_COVIDCURWHEN;When did you have this test?;;cs_qCOVIDCURWHEN;CcSequence;Health – Physical Health;1;7;1;1
qi_COVIDPASRESULT;What was the result of your finger stick or blood test or serology test or antibody test for past infection? If you had more than one test please report the findings of the latest test.;;cs_qCOVIDPASRESULT;CcSequence;Health – Physical Health;1;8;1;1
qi_COVIDPASWHEN;When did you have this test?;;cs_qCOVIDPASWHEN;CcSequence;Health – Physical Health;1;9;1;1
qi_COVIDINCRESULT;What was the result of your coronavirus test? If you had more than one test please report the findings of the latest test.;;cs_qCOVIDINCRESULT;CcSequence;Health – Physical Health;1;10;1;1
qi_COVIDINCWHEN;When did you have this test?;;cs_qCOVIDINCWHEN;CcSequence;Health – Physical Health;1;11;1;1
qi_COVIDSYMPT;Have you experienced any of the following symptoms in the past 2 weeks?;;cs_qCOVIDSYMPT;CcSequence;Health – Physical Health;1;12;1;1
qi_COVIDSYMPTO;What were the other symptoms you experienced?;;Generic text;CcSequence;Health – Physical Health;1;13;1;1
qi_GHQ;In general, would you say your health is...;;cs_qGHQ;CcSequence;Health – Physical Health;1;14;1;1
qi_GHQPRECOVID;In general, in the 3 months before the Coronavirus outbreak in March, would you say your health was...;;cs_qGHQPRECOVID;CcSequence;Health – Physical Health;1;15;1;1
qi_LLI;Do you currently have any of the following?;Please select all that apply.;cs_qLLI;CcSequence;Health – Physical Health;1;16;1;1
qi_LLI2;And do you currently have any of the following?;Please select all that apply.;cs_qLLI2;CcSequence;Health – Physical Health;1;17;1;1
qi_PMED;At the time of the Coronavirus outbreak in March, were you taking any prescribed medication?;;cs_qPMED;CcSequence;Health - Medication;1;1;1;1
qi_PMEDTYP;Which type of prescribed medication were you taking at that time?;;cs_qPMEDTYP;CcSequence;Health - Medication;1;2;1;1
qi_CARDMED;Were you taking any of the following medications for hypertension or cardiovascular disease at that time?;Please select all that apply.;cs_qCARDMED;CcSequence;Health - Medication;1;3;1;1
qi_PMEDDIF;Since the Coronavirus outbreak in March, have you had any difficulty obtaining any of your prescribed medication?;;cs_qPMEDDIF;CcSequence;Health - Medication;1;4;1;1
qi_PMEDDIFTYP;Which type of medication did you have difficulty obtaining?;Please select all that apply.;cs_qPMEDDIFTYP;CcSequence;Health - Medication;1;5;1;1
qi_PMEDDIFB;Are you still having any difficulty obtaining any of your prescribed medication?;;cs_qPMEDDIFB;CcSequence;Health - Medication;1;6;1;1
qi_APPHOSP;At the time of the Coronavirus outbreak in March, did you have an in-patient or out-patient appointment booked at a hospital for a consultation, investigation, treatment or surgery?;Please select all that apply.;cs_qAPPHOSP;CcSequence;Health - Healthcare;1;1;1;1
qi_APPHAD;Have you now had your in-patient or out-patient hospital appointment for a consultation, investigation or treatment?;;cs_qAPPHAD;CcSequence;Health - Healthcare;1;2;1;1
qi_APPHADH;Did your (last) appointment take place on the planned date or was it delayed?;;cs_qAPPHADH;CcSequence;Health - Healthcare;1;3;1;1
qi_APPHADT;Did your (last) appointment take place in-person or by phone/video?;;cs_qAPPHADT;CcSequence;Health - Healthcare;1;4;1;1
qi_APPNOT;Why has your in-patient or out-patient hospital appointment for a consultation, investigation or treatment not taken place?;;cs_qAPPNOT;CcSequence;Health - Healthcare;1;5;1;1
